step: 200, train_loss: 5.367553726832072, perplexity: 214.33789680919008
step: 400, train_loss: 4.055078840255737, perplexity: 57.68971108844994
step: 600, train_loss: 3.6481911102930704, perplexity: 38.40513252983201
step: 800, train_loss: 3.3889332453409833, perplexity: 29.634322850984944
step: 1000, train_loss: 3.2240024328231813, perplexity: 25.12849428736746
step: 1200, train_loss: 3.1103840986887614, perplexity: 22.429657948621657
step: 1400, train_loss: 2.9732247988382974, perplexity: 19.55487857616267
step: 1600, train_loss: 2.9126001437505087, perplexity: 18.404590988748605
step: 1800, train_loss: 2.8170725107192993, perplexity: 16.727808441959958
step: 2000, train_loss: 2.746342396736145, perplexity: 15.585521849346652
step: 2200, train_loss: 2.673788817723592, perplexity: 14.494783378916528
step: 2400, train_loss: 2.6413124799728394, perplexity: 14.03160773170423
step: 2600, train_loss: 2.5584779659907024, perplexity: 12.916143537528377
step: 2800, train_loss: 2.5524951616923013, perplexity: 12.839099478027572
step: 3000, train_loss: 2.548217550913493, perplexity: 12.784296105025476
step: 3200, train_loss: 2.49707400004069, perplexity: 12.146900083107035
step: 3400, train_loss: 2.4497375965118406, perplexity: 11.5853062955486
step: 3600, train_loss: 2.412236301104228, perplexity: 11.15888789614061
step: 3800, train_loss: 2.356661399205526, perplexity: 10.555651452592766
step: 4000, train_loss: 2.3882713158925375, perplexity: 10.894644256776408
step: 4200, train_loss: 2.379101626078288, perplexity: 10.795200379853558
step: 4400, train_loss: 2.36341613928477, perplexity: 10.627193486426178
step: 4600, train_loss: 2.3133150974909467, perplexity: 10.107877774449188
step: 4800, train_loss: 2.278428641955058, perplexity: 9.76132980791883
step: 5000, train_loss: 2.2715229908625285, perplexity: 9.694153684459213
step: 5200, train_loss: 2.2601746718088784, perplexity: 9.584763208483471
step: 5400, train_loss: 2.229954489072164, perplexity: 9.29944284358056
step: 5600, train_loss: 2.2679064830144244, perplexity: 9.65915802076756
step: 5800, train_loss: 2.1840174913406374, perplexity: 8.881917703950254
step: 6000, train_loss: 2.1959715525309247, perplexity: 8.988729839122497
step: 6200, train_loss: 2.2058821360270184, perplexity: 9.078256293647959
