train_loss: 4.398101345698039,val_loss: 4.263208818435669, val_perplexity: 71.03756477290497
train_loss: 3.5992621262868245,val_loss: 3.5664767026901245, val_perplexity: 35.391677820667134
train_loss: 3.2274473746617636,val_loss: 3.186336040496826, val_perplexity: 24.1995984608186
train_loss: 2.9734358469645183,val_loss: 2.9815507094065348, val_perplexity: 19.718370411111287
train_loss: 2.8365561962127686,val_loss: 2.798917841911316, val_perplexity: 16.42686068899019
train_loss: 2.7139402468999227,val_loss: 2.730478858947754, val_perplexity: 15.340231068292884
train_loss: 2.619487452507019,val_loss: 2.621340036392212, val_perplexity: 13.754142292668325
train_loss: 2.5603198846181234,val_loss: 2.5401376167933147, val_perplexity: 12.681416026564902
train_loss: 2.4557567199071246,val_loss: 2.485866737365723, val_perplexity: 12.011526583311992
train_loss: 2.4338067531585694,val_loss: 2.3936403115590412, val_perplexity: 10.953294861110374
train_loss: 2.3475945552190143,val_loss: 2.3415683110555015, val_perplexity: 10.397530344322174
train_loss: 2.321519311269124,val_loss: 2.3070871671040853, val_perplexity: 10.045122236713288
train_loss: 2.302445673942566,val_loss: 2.293601671854655, val_perplexity: 9.9105680922938
train_loss: 2.2460468371709186,val_loss: 2.2269465923309326, val_perplexity: 9.27151310569759
train_loss: 2.22435093720754,val_loss: 2.2149850606918333, val_perplexity: 9.161272247517175
train_loss: 2.1883246382077535,val_loss: 2.1607778827349344, val_perplexity: 8.677885410880009
train_loss: 2.1666687885920206,val_loss: 2.1665899753570557, val_perplexity: 8.728468940337049
train_loss: 2.150882530212402,val_loss: 2.1593244473139444, val_perplexity: 8.665281826311395
train_loss: 2.1060049136479697,val_loss: 2.1007681568463643, val_perplexity: 8.172445221796867
train_loss: 2.126352596282959,val_loss: 2.123239358266195, val_perplexity: 8.358168785166097
train_loss: 2.0999314427375793,val_loss: 2.104041842619578, val_perplexity: 8.199243079401672
train_loss: 2.068442209561666,val_loss: 2.076684856414795, val_perplexity: 7.977976887221624
train_loss: 2.0500239690144855,val_loss: 2.095125945409139, val_perplexity: 8.126464396646632
train_loss: 2.0555560270945232,val_loss: 2.0351879874865215, val_perplexity: 7.653690788343009
train_loss: 2.05142556031545,val_loss: 2.0071081082026163, val_perplexity: 7.441765419043474
train_loss: 2.04222891330719,val_loss: 2.0253079295158387, val_perplexity: 7.578444212034481
train_loss: 2.0157997886339825,val_loss: 2.0183582305908203, val_perplexity: 7.525958896257966
train_loss: 2.009671684106191,val_loss: 2.0001766681671143, val_perplexity: 7.390361625247428
train_loss: 2.004999629656474,val_loss: 1.9982077797253928, val_perplexity: 7.375825142715472
train_loss: 1.9943157394727071,val_loss: 1.9781253457069397, val_perplexity: 7.229178064671196
train_loss: 1.9959901452064515,val_loss: 1.9598494251569112, val_perplexity: 7.098258165574474
train_loss: 1.961415978272756,val_loss: 1.9642287929852804, val_perplexity: 7.129412216755393
train_loss: 1.953991989294688,val_loss: 1.9751338561375935, val_perplexity: 7.207584368657494
train_loss: 1.9359519004821777,val_loss: 1.9485319058100383, val_perplexity: 7.018376375950964
train_loss: 1.9397414604822794,val_loss: 1.935866610209147, val_perplexity: 6.930047103420914
train_loss: 1.938698446750641,val_loss: 1.9410375277201335, val_perplexity: 6.965974614384129
train_loss: 1.9301599502563476,val_loss: 1.9123441378275554, val_perplexity: 6.768937537994234
train_loss: 1.924259905020396,val_loss: 1.93137237628301, val_perplexity: 6.8989717329165545
train_loss: 1.9114750146865844,val_loss: 1.8931904276212057, val_perplexity: 6.640521022282726
train_loss: 1.934373688697815,val_loss: 1.9149742166201273, val_perplexity: 6.786763809034038
train_loss: 1.8853516578674316,val_loss: 1.8990840117136638, val_perplexity: 6.679773045278441
train_loss: 1.9210786422093709,val_loss: 1.909576125939687, val_perplexity: 6.750226945937988
train_loss: 1.8915421644846597,val_loss: 1.8820022543271382, val_perplexity: 6.566639791005234
train_loss: 1.8885174115498862,val_loss: 1.8722396572430928, val_perplexity: 6.502844244324885
train_loss: 1.8611403425534567,val_loss: 1.8716808517773946, val_perplexity: 6.49921143453009
train_loss: 1.8819607655207315,val_loss: 1.8801908095677693, val_perplexity: 6.554755452929822
train_loss: 1.8490802327791849,val_loss: 1.861182415485382, val_perplexity: 6.431336789565787
train_loss: 1.8696468790372214,val_loss: 1.8423945744832357, val_perplexity: 6.311633857431047
train_loss: 1.8369893113772073,val_loss: 1.852848732471466, val_perplexity: 6.37796277735822
train_loss: 1.8629576325416566,val_loss: 1.8631173253059388, val_perplexity: 6.443792893111589
train_loss: 1.8433499813079834,val_loss: 1.8734233458836873, val_perplexity: 6.510546144615117
train_loss: 1.829544754823049,val_loss: 1.8467700560887654, val_perplexity: 6.339310801098158
train_loss: 1.818941553433736,val_loss: 1.8201919158299764, val_perplexity: 6.173043040887706
train_loss: 1.8323228160540264,val_loss: 1.83591628074646, val_perplexity: 6.270877398041236
train_loss: 1.836015490690867,val_loss: 1.8276541709899903, val_perplexity: 6.219280165222088
train_loss: 1.8363964557647705,val_loss: 1.831204644838969, val_perplexity: 6.241400802943582
train_loss: 1.7990056912104289,val_loss: 1.8152408440907797, val_perplexity: 6.1425553974768565
train_loss: 1.8185696760813395,val_loss: 1.8087527831395467, val_perplexity: 6.102831129745949
train_loss: 1.8187261382738749,val_loss: 1.8069398999214172, val_perplexity: 6.091777432166548
train_loss: 1.8247813701629638,val_loss: 1.8150447328885397, val_perplexity: 6.141350891665434
train_loss: 1.7893887917200724,val_loss: 1.8195708036422729, val_perplexity: 6.169210079092659
train_loss: 1.8217273712158204,val_loss: 1.7960999965667725, val_perplexity: 6.0260997664301605
train_loss: 1.7913311084111532,val_loss: 1.8040459156036377, val_perplexity: 6.0741734089803225
train_loss: 1.806601611773173,val_loss: 1.7854182163874308, val_perplexity: 5.96207286283154
train_loss: 1.7993388136227926,val_loss: 1.8022093852361043, val_perplexity: 6.063028242408072
train_loss: 1.8164211193720499,val_loss: 1.7933468302090962, val_perplexity: 6.009531729032185
train_loss: 1.7788392941157023,val_loss: 1.8104994336764018, val_perplexity: 6.1134999576596964
train_loss: 1.795382829507192,val_loss: 1.7904200156529744, val_perplexity: 5.991968658554798
train_loss: 1.7949894547462464,val_loss: 1.7833112796147665, val_perplexity: 5.949524376351424
train_loss: 1.782818353176117,val_loss: 1.7796542008717855, val_perplexity: 5.927806233907628
train_loss: 1.8006773789723713,val_loss: 1.7803376038869223, val_perplexity: 5.931858699136783
train_loss: 1.757616929213206,val_loss: 1.781493063767751, val_perplexity: 5.93871668518325
train_loss: 1.7753466804822287,val_loss: 1.7768075545628865, val_perplexity: 5.9109558610765855
train_loss: 1.786268448829651,val_loss: 1.7674235224723815, val_perplexity: 5.85574670896109
train_loss: 1.792818053563436,val_loss: 1.7622342228889465, val_perplexity: 5.825438193002571
train_loss: 1.7622007807095845,val_loss: 1.7556129018465678, val_perplexity: 5.786993514251544
train_loss: 1.767992667357127,val_loss: 1.7775445024172465, val_perplexity: 5.91531353280682
train_loss: 1.7471150000890097,val_loss: 1.762326188882192, val_perplexity: 5.825973959847869
train_loss: 1.7819668730099996,val_loss: 1.7457032442092895, val_perplexity: 5.729929598688029
train_loss: 1.7726392944653828,val_loss: 1.7529233773549397, val_perplexity: 5.771450164940854
train_loss: 1.7556861241658528,val_loss: 1.7747693538665772, val_perplexity: 5.898920416217264
train_loss: 1.7582711577415466,val_loss: 1.7806304335594176, val_perplexity: 5.933595977727887
train_loss: 1.7724662224451702,val_loss: 1.7559322913487752, val_perplexity: 5.788842114425369
train_loss: 1.7661966602007548,val_loss: 1.7680362145105997, val_perplexity: 5.8593355776708655
train_loss: 1.7705196301142374,val_loss: 1.7507907708485921, val_perplexity: 5.7591550477513564
train_loss: 1.748896845181783,val_loss: 1.7242538491884867, val_perplexity: 5.608334804544082
train_loss: 1.7486151019732157,val_loss: 1.7397493958473205, val_perplexity: 5.695915823639623
train_loss: 1.7341588099797567,val_loss: 1.7356183052062988, val_perplexity: 5.672434015222889
train_loss: 1.731395963827769,val_loss: 1.7311222712198893, val_perplexity: 5.6469878054815
train_loss: 1.7257043917973836,val_loss: 1.731404717763265, val_perplexity: 5.648583002936042
train_loss: 1.7329079389572144,val_loss: 1.7274298270543416, val_perplexity: 5.626175066890805
train_loss: 1.7427907586097717,val_loss: 1.7533932248751323, val_perplexity: 5.774162503631672
train_loss: 1.7162809133529664,val_loss: 1.7203463037808737, val_perplexity: 5.58646274250223
train_loss: 1.764121695359548,val_loss: 1.73395041624705, val_perplexity: 5.662980910712583
train_loss: 1.7544089516003927,val_loss: 1.7343824704488118, val_perplexity: 5.665428154042365
train_loss: 1.705057696501414,val_loss: 1.7325236002604167, val_perplexity: 5.654906640635795
train_loss: 1.75017515818278,val_loss: 1.7280021985371907, val_perplexity: 5.6293962508255815
train_loss: 1.6956678628921509,val_loss: 1.7185413042704265, val_perplexity: 5.57638827492664
train_loss: 1.7296261628468832,val_loss: 1.729439103603363, val_perplexity: 5.637490973098844
train_loss: 1.7416818380355834,val_loss: 1.7199554125467935, val_perplexity: 5.5842794699255265
train_loss: 1.7378641406695048,val_loss: 1.720313560962677, val_perplexity: 5.586279828962859
train_loss: 1.712122642993927,val_loss: 1.698958969116211, val_perplexity: 5.468251808589529
train_loss: 1.7318913777669271,val_loss: 1.7054190278053283, val_perplexity: 5.50369138381984
train_loss: 1.7246097286542257,val_loss: 1.708374031384786, val_perplexity: 5.51997886448918
train_loss: 1.725901432832082,val_loss: 1.7061569015185039, val_perplexity: 5.507753911649316
train_loss: 1.731188674767812,val_loss: 1.7011507312456766, val_perplexity: 5.480250059671027
train_loss: 1.7007097005844116,val_loss: 1.715781303246816, val_perplexity: 5.561018657416463
train_loss: 1.7117437481880189,val_loss: 1.7223361492156983, val_perplexity: 5.597590006983912
train_loss: 1.6911688844362895,val_loss: 1.7121124108632406, val_perplexity: 5.540653260488676
train_loss: 1.7207951466242473,val_loss: 1.7320422808329263, val_perplexity: 5.652185479135493
train_loss: 1.7023891925811767,val_loss: 1.699870777130127, val_perplexity: 5.473240078237231
train_loss: 1.702069632212321,val_loss: 1.6840991536776224, val_perplexity: 5.38759535015355
train_loss: 1.7092214186986288,val_loss: 1.702135193347931, val_perplexity: 5.485647814672325
train_loss: 1.6976062297821044,val_loss: 1.7011176705360413, val_perplexity: 5.480068881710028
train_loss: 1.680515722433726,val_loss: 1.691238009929657, val_perplexity: 5.426194230906061
train_loss: 1.6905003786087036,val_loss: 1.6685490250587462, val_perplexity: 5.304465564048666
train_loss: 1.6902447621027628,val_loss: 1.693251367410024, val_perplexity: 5.437130104868459
train_loss: 1.6923516829808554,val_loss: 1.6792138735453288, val_perplexity: 5.361339623137543
train_loss: 1.7006643573443094,val_loss: 1.683469565709432, val_perplexity: 5.384204452489807
train_loss: 1.6801083564758301,val_loss: 1.6977009654045105, val_perplexity: 5.4613770526587
train_loss: 1.6902128179868063,val_loss: 1.681672489643097, val_perplexity: 5.374537316423065
train_loss: 1.6899446765581767,val_loss: 1.6772876779238384, val_perplexity: 5.351022573747698
train_loss: 1.6739301244417826,val_loss: 1.6857021729151407, val_perplexity: 5.396238695016977
train_loss: 1.6946001768112182,val_loss: 1.6733894983927409, val_perplexity: 5.3302039308470786
train_loss: 1.6934482375780742,val_loss: 1.6629384716351827, val_perplexity: 5.274787908504239
train_loss: 1.6994766275087991,val_loss: 1.690057881673177, val_perplexity: 5.419794402820756
train_loss: 1.684408724308014,val_loss: 1.6645142634709675, val_perplexity: 5.283106428632685
train_loss: 1.704866890112559,val_loss: 1.6567954301834107, val_perplexity: 5.242483991471253
train_loss: 1.6691367586453756,val_loss: 1.6522390524546304, val_perplexity: 5.2186515901116035
train_loss: 1.696364120642344,val_loss: 1.6847944339116414, val_perplexity: 5.391342541232395
train_loss: 1.6817768613497417,val_loss: 1.6734169125556946, val_perplexity: 5.330350055929155
train_loss: 1.6659858306248982,val_loss: 1.6772485931714376, val_perplexity: 5.350813434442418
train_loss: 1.6803294857343039,val_loss: 1.6859996318817139, val_perplexity: 5.397844093360808
train_loss: 1.6915250817934673,val_loss: 1.6789987683296204, val_perplexity: 5.3601864950478015
train_loss: 1.6712599913279216,val_loss: 1.6566327333450317, val_perplexity: 5.241631125281786
train_loss: 1.6567227681477865,val_loss: 1.6352604786554972, val_perplexity: 5.130794285379396
train_loss: 1.6448398629824321,val_loss: 1.677684986591339, val_perplexity: 5.3531490037928116
train_loss: 1.658300244808197,val_loss: 1.653598634401957, val_perplexity: 5.225751600031888
train_loss: 1.6545527815818786,val_loss: 1.6683568517367044, val_perplexity: 5.303446285221803
train_loss: 1.6734800020853677,val_loss: 1.6752244194348653, val_perplexity: 5.339993412915211
train_loss: 1.6808991114298502,val_loss: 1.655489695072174, val_perplexity: 5.235643163180273
train_loss: 1.6889461398124694,val_loss: 1.6618938406308492, val_perplexity: 5.2692805785783525
train_loss: 1.671446112791697,val_loss: 1.6835150400797525, val_perplexity: 5.384449301364093
train_loss: 1.6895822882652283,val_loss: 1.666111938158671, val_perplexity: 5.291553860373205
train_loss: 1.6790194352467855,val_loss: 1.659133752187093, val_perplexity: 5.254756950615549
train_loss: 1.6567959705988566,val_loss: 1.6759700536727906, val_perplexity: 5.343976579642376
train_loss: 1.671967057387034,val_loss: 1.6469155907630921, val_perplexity: 5.190944113569178
train_loss: 1.6784176111221314,val_loss: 1.6693620045979818, val_perplexity: 5.308779739449366
train_loss: 1.6528167009353638,val_loss: 1.6533291657765707, val_perplexity: 5.224343613644215
train_loss: 1.6623335520426432,val_loss: 1.667187790075938, val_perplexity: 5.297249852211673
train_loss: 1.6464342673619587,val_loss: 1.6970210472742717, val_perplexity: 5.4576650254648245
train_loss: 1.6726222078005473,val_loss: 1.667570130030314, val_perplexity: 5.299275589714001
train_loss: 1.6610565066337586,val_loss: 1.6366370598475137, val_perplexity: 5.137862103889659
train_loss: 1.6603814323743185,val_loss: 1.6509526213010153, val_perplexity: 5.211942470461732
train_loss: 1.6632545312245688,val_loss: 1.6544695258140565, val_perplexity: 5.230304644538028
train_loss: 1.6693044741948446,val_loss: 1.6358375628789266, val_perplexity: 5.1337560403239815
train_loss: 1.670552905400594,val_loss: 1.6548411011695863, val_perplexity: 5.232248457960068
train_loss: 1.663268299897512,val_loss: 1.6431429028511046, val_perplexity: 5.17139719685287
train_loss: 1.6527244607607523,val_loss: 1.6491535941759745, val_perplexity: 5.202574473749941
