train_loss: 5.35944013595581,val_loss: 5.206715488433838, val_perplexity: 182.49367017233516
train_loss: 4.218549791971842,val_loss: 4.200286642710368, val_perplexity: 66.70544893147027
train_loss: 3.807944718996684,val_loss: 3.8052116711934407, val_perplexity: 44.934760500822534
train_loss: 3.5883817116419476,val_loss: 3.578127900759379, val_perplexity: 35.806444843269716
train_loss: 3.460203107198079,val_loss: 3.430907400449117, val_perplexity: 30.904672944557753
train_loss: 3.3242334286371866,val_loss: 3.2957546790440877, val_perplexity: 26.997781043259387
train_loss: 3.2081812699635823,val_loss: 3.2127203226089476, val_perplexity: 24.84658510080786
train_loss: 3.145900003115336,val_loss: 3.13487335840861, val_perplexity: 22.985724708947046
train_loss: 3.0446525971094767,val_loss: 3.056818731625875, val_perplexity: 21.25981628701243
train_loss: 3.0317873398462933,val_loss: 3.0027537107467652, val_perplexity: 20.140922905556067
train_loss: 2.9362690846125283,val_loss: 2.9465444405873615, val_perplexity: 19.04004590976302
train_loss: 2.90407973130544,val_loss: 2.900862963994344, val_perplexity: 18.189835771677227
train_loss: 2.8962721188863116,val_loss: 2.8539658387502036, val_perplexity: 17.35647852564615
train_loss: 2.832458162307739,val_loss: 2.8249346653620404, val_perplexity: 16.859843418338365
train_loss: 2.7731316169102986,val_loss: 2.8078619321187337, val_perplexity: 16.57444302383419
train_loss: 2.748015880584717,val_loss: 2.7692665735880535, val_perplexity: 15.946933817252251
train_loss: 2.7250614325205484,val_loss: 2.7241464694341024, val_perplexity: 15.243397666924663
train_loss: 2.717808969815572,val_loss: 2.7235531012217202, val_perplexity: 15.234355402261922
train_loss: 2.6969147682189942,val_loss: 2.6888972520828247, val_perplexity: 14.7154395494623
train_loss: 2.671617929140727,val_loss: 2.6635350147883097, val_perplexity: 14.346916122978184
train_loss: 2.6497930685679116,val_loss: 2.6541259129842123, val_perplexity: 14.212557616277952
train_loss: 2.6229686816533406,val_loss: 2.61089924176534, val_perplexity: 13.611285186313717
train_loss: 2.5888245900472007,val_loss: 2.593001461029053, val_perplexity: 13.369840495717689
train_loss: 2.5923850695292154,val_loss: 2.586837124824524, val_perplexity: 13.287677803306037
train_loss: 2.559719451268514,val_loss: 2.576554361979167, val_perplexity: 13.151743849741031
train_loss: 2.5420013427734376,val_loss: 2.557443888982137, val_perplexity: 12.902794153791845
train_loss: 2.558132219314575,val_loss: 2.530753668149312, val_perplexity: 12.562970880595643
train_loss: 2.5067991971969605,val_loss: 2.5396020491917928, val_perplexity: 12.674626089397131
train_loss: 2.5065656820933024,val_loss: 2.5094680070877073, val_perplexity: 12.298385665872093
